iter	Passed	Remaining
0	8	1616
1	15	1508
2	22	1467
3	29	1463
4	37	1462
5	44	1441
6	52	1440
7	59	1432
8	68	1453
9	77	1473
10	87	1500
11	102	1607
12	112	1620
13	122	1625
14	138	1708
15	150	1726
16	162	1749
17	175	1775
18	193	1845
19	205	1853
20	216	1846
21	226	1830
22	239	1841
23	250	1833
24	257	1799
25	265	1775
26	274	1759
27	286	1761
28	300	1769
29	308	1750
30	316	1726
31	323	1699
32	333	1686
33	343	1679
34	356	1679
35	364	1662
36	372	1640
37	384	1638
38	399	1647
39	406	1626
40	415	1610
41	422	1588
42	431	1573
43	440	1561
44	450	1553
45	459	1537
46	467	1522
47	480	1522
48	491	1515
49	501	1504
50	510	1491
51	517	1473
52	526	1461
53	533	1442
54	541	1426
55	548	1411
56	556	1396
57	563	1380
58	572	1367
59	579	1352
60	586	1337
61	594	1323
62	601	1308
63	609	1294
64	616	1280
65	624	1267
66	631	1253
67	639	1241
68	646	1227
69	653	1214
70	661	1201
71	669	1189
72	677	1177
73	684	1165
74	692	1153
75	698	1140
76	706	1128
77	714	1116
78	721	1105
79	728	1093
80	737	1082
81	744	1070
82	751	1059
83	759	1048
84	766	1036
85	774	1027
86	782	1016
87	790	1005
88	797	994
89	806	985
90	815	977
91	823	967
92	830	955
93	837	944
94	844	933
95	851	922
96	857	911
97	865	900
98	871	889
99	878	878
100	885	867
101	891	856
102	898	846
103	904	835
104	912	825
105	919	815
106	926	804
107	932	794
108	939	784
109	946	774
110	954	765
111	962	755
112	970	747
113	980	739
114	987	729
115	994	720
116	1001	710
117	1008	700
118	1016	692
119	1023	682
120	1030	672
121	1036	662
122	1044	653
123	1051	644
124	1058	635
125	1063	624
126	1069	614
127	1076	605
128	1082	595
129	1089	586
130	1096	577
131	1103	568
132	1109	559
133	1116	549
134	1123	540
135	1130	532
136	1136	522
137	1143	513
138	1149	504
139	1156	495
140	1163	486
141	1169	477
142	1176	468
143	1182	459
144	1190	451
145	1196	442
146	1203	433
147	1209	425
148	1216	416
149	1222	407
150	1229	399
151	1236	390
152	1245	382
153	1252	374
154	1259	365
155	1266	357
156	1273	348
157	1279	340
158	1285	331
159	1293	323
160	1299	314
161	1310	307
162	1317	299
163	1325	291
164	1332	282
165	1341	274
166	1347	266
167	1355	258
168	1362	249
169	1370	241
170	1378	233
171	1386	225
172	1393	217
173	1400	209
174	1408	201
175	1415	192
176	1422	184
177	1429	176
178	1437	168
179	1444	160
180	1452	152
181	1459	144
182	1467	136
183	1474	128
184	1481	120
185	1490	112
186	1497	104
187	1506	96
188	1514	88
189	1523	80
190	1530	72
191	1538	64
192	1545	56
193	1552	48
194	1560	40
195	1567	31
196	1575	23
197	1582	15
198	1589	7
199	1597	0
